Trial_Index,Task_Completion_Time
1,4.423617
2,6.027449
3,1.555627
4,1.624786
5,4.860648
6,2.12499
7,2.235773
8,1.930412
9,1.569075
10,1.597136
11,1.777521
12,4.51306
13,5.277718
14,1.805229
15,2.471844
16,3.777042
17,1.945084
18,2.305611
19,6.457218
20,1.611568
21,2.707626
22,8.38784
23,2.027687
24,1.833496
25,3.06871
26,2.23616
27,1.568787
28,1.52771
29,2.930817
30,2.569054

Metric,Value
Average_TCT,2.95831
Total_Success,29
Total_Failure,1
Total_Trials,30
