Trial_Index,Task_Completion_Time
1,4.535915
2,3.207176
3,3.403304
4,2.891121
5,4.097818
6,6.540182
7,5.3314
8,2.904072
9,3.263454
10,2.42989
11,3.903133
12,3.427628
13,3.362793
14,2.709301
15,4.763889
16,3.764061
17,2.707199
18,4.332466
19,3.167923
20,2.903275
21,2.693352
22,2.930725
23,3.87516
24,2.596176
25,3.361092
26,3.593803
27,3.235916
28,3.764923
29,2.262848
30,3.111374

Metric,Value
Average_TCT,3.502379
Total_Success,30
Total_Failure,0
Total_Trials,30
