Trial_Index,Task_Completion_Time
1,5.620029
2,2.334404
3,3.124535
4,3.486271
5,3.528084
6,3.734356
7,3.500114
8,3.528275
9,2.333332
10,3.931023
11,5.874565
12,3.55563
13,3.373528
14,2.265858
15,3.025837
16,4.947815
17,4.428574
18,2.568604
19,2.721992
20,3.236084
21,2.569313
22,2.903618
23,3.220612
24,2.348328
25,7.1931
26,3.167809
27,6.473
28,3.152084
29,7.567429
30,3.028404

Metric,Value
Average_TCT,3.758087
Total_Success,29
Total_Failure,1
Total_Trials,30
