Trial_Index,Task_Completion_Time
1,2.789815
2,2.515152
3,5.02771
4,2.277837
5,2.513908
6,2.092283
7,1.793776
8,3.334972
9,3.041672
10,1.528118
11,2.930628
12,3.235435
13,0.6386871
14,6.737103
15,1.945141
16,3.845364
17,1.570019
18,1.985962
19,1.916058
20,2.000057
21,2.125057
22,1.319584
23,3.986233
24,3.263466
25,1.930771
26,2.305771
27,2.236526
28,1.624054
29,3.124817
30,3.778221

Metric,Value
Average_TCT,2.64714
Total_Success,29
Total_Failure,1
Total_Trials,30
