Trial_Index,Task_Completion_Time
1,4.051937
2,4.194731
3,1.70807
4,3.166315
5,1.528463
6,1.639067
7,2.291395
8,1.194569
9,1.611107
10,2.402241
11,3.457781
12,11.08448
13,4.499008
14,2.250473
15,3.888779
16,1.416515
17,1.528366
18,2.902695
19,3.458317
20,2.166641
21,1.263596
22,2.028046
23,2.444519
24,1.792313
25,5.235992
26,2.139572
27,3.097099
28,2.957382
29,1.569138
30,2.778282

Metric,Value
Average_TCT,2.85823
Total_Success,29
Total_Failure,1
Total_Trials,30
