Trial_Index,Task_Completion_Time
1,3.541619
2,2.37428
3,4.833057
4,6.292009
5,5.584999
6,9.833508
7,3.736225
8,2.179947
9,8.734596
10,1.63813
11,1.735657
12,5.109726
13,3.223068
14,1.554871
15,2.651611
16,3.346748
17,1.735809
18,2.264175
19,1.722122
20,1.388397

Metric,Value
Average_TCT,3.674028
Total_Success,20
Total_Failure,0
Total_Trials,20
