Trial_Index,Task_Completion_Time
1,8.027313
2,19.61013
3,28.2742
4,16.69334
5,6.999222
6,5.430679
7,13.69505
8,5.944382
9,5.305984
10,6.692413
11,2.902237
12,7.651428
13,2.332581
14,1.692993
15,3.722153
16,4.165863
17,4.706451

Metric,Value
Average_TCT,8.461555
Total_Success,17
Total_Failure,3
Total_Trials,17
