Trial_Index,Task_Completion_Time
1,4.583259
2,4.570229
3,4.293724
4,4.54026
5,3.222649
6,2.222862
7,4.708961
8,8.929527
9,3.402184
10,3.527397
11,4.165909
12,3.818558
13,5.336136
14,3.053627
15,5.307701
16,6.013084
17,5.124496
18,4.528702
19,2.15184
20,3.068832

Metric,Value
Average_TCT,4.328497
Total_Success,20
Total_Failure,0
Total_Trials,20
