Trial_Index,Task_Completion_Time
1,6.624945
2,4.625912
3,3.666752
4,4.790859
5,2.264725
6,2.874428
7,2.763432
8,5.110947
9,4.387573
10,6.081566
11,6.042946
12,3.877327
13,5.986992
14,2.360336
15,3.76133
16,2.721222
17,5.651642
18,5.068527
19,3.248734
20,4.207245

Metric,Value
Average_TCT,4.305872
Total_Success,20
Total_Failure,0
Total_Trials,20
